cuisine,diet,name,cooking time,ingredients,allergens,recipe
Vietnamese,Non-Vegetarian,Creamy Tuna Soup ,1 hr 37 min,"Tuna, Sugar, Yogurt, Honey, Black pepper","Milk, Seafood, Honey","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a soup."
Vietnamese,Vegetarian,Garlic Tomato Frittata ,30 min,"Tomato, Soy sauce, Salt, Butter, Cumin, Cheese, Olive oil, Coriander","Milk, Soy","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Italian,Vegan,Quick Tofu Salad ,1 hr 15 min,"Tofu, Soy sauce, Chili, Coriander, Lemon",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Moroccan,Non-Vegetarian,Easy Tuna Pasta ,1 hr 49 min,"Tuna, Vinegar, Paprika, Lemon, Butter, Tomato, Cheese, Onion","Milk, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Ethiopian,Vegan,Honey Tomato Burger ,42 min,"Tomato, Olive oil, Cumin, Black pepper, Sugar, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Italian,Vegetarian,Quick Black beans Rice Bowl ,1 hr 36 min,"Black beans, Lemon, Butter, Garlic, Sugar",Milk,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
French,Vegan,Peanut Sweet potato Curry ,1 hr 42 min,"Sweet potato, Flour, Cumin, Tomato, Coriander",Gluten,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Korean,Vegetarian,Simple Tomato Curry ,1 hr 16 min,"Tomato, Chili, Onion, Black pepper, Ginger, Milk",Milk,"Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Mediterranean,Non-Vegetarian,Simple Fish Wrap ,1 hr 32 min,"Fish, Butter, Paprika, Black pepper, Coriander, Garlic, Yogurt, Vinegar","Milk, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a wrap."
Mexican,Non-Vegetarian,Creamy Fish Frittata ,50 min,"Fish, Flour, Lemon, Tomato, Cumin, Salt, Butter","Milk, Gluten, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Vietnamese,Vegan,Warm Black beans Rice Bowl ,40 min,"Black beans, Tomato, Lemon, Onion, Garlic",,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
French,Vegan,Minty Cauliflower Pilaf ,28 min,"Cauliflower, Paprika, Garlic",,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
French,Vegan,Spicy Quinoa Pasta ,1 hr 34 min,"Quinoa, Garlic, Nuts, Herbs, Chili",Nuts,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
French,Vegan,Herbed Kidney beans Wrap ,1 hr 19 min,"Kidney beans, Garlic, Lemon, Herbs",,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Spanish,Non-Vegetarian,Easy Tuna Kebab ,23 min,"Tuna, Garlic, Butter, Lemon, Nuts","Milk, Nuts, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and pan-fry the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a kebab."
Korean,Vegetarian,Light Rice Wrap ,1 hr 16 min,"Rice, Yogurt, Salt, Milk, Butter, Sugar, Chili, Soy sauce","Milk, Soy","Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Lebanese,Non-Vegetarian,Smoky Pork Fritters ,57 min,"Pork, Onion, Yogurt, Soy sauce, Nuts, Paprika","Milk, Soy, Nuts","Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a fritters."
Spanish,Vegetarian,Crispy Bell pepper Stir-fry ,48 min,"Bell pepper, Herbs, Onion, Garlic, Butter, Paprika",Milk,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Brazilian,Non-Vegetarian,Light Lamb Tacos ,47 min,"Lamb, Cumin, Flour, Yogurt, Butter, Sugar","Milk, Gluten","Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a tacos."
Mediterranean,Non-Vegetarian,Simple Beef Wrap ,2 hr,"Beef, Flour, Nuts, Sugar, Onion, Salt","Nuts, Gluten","Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a wrap."
Spanish,Non-Vegetarian,Herbed Chicken Burger ,29 min,"Chicken, Yogurt, Milk, Olive oil, Chili, Soy sauce, Cumin, Coriander","Milk, Soy","Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a burger."
Greek,Vegan,Lemony Zucchini Burger ,29 min,"Zucchini, Garlic, Salt, Soy sauce, Paprika, Nuts","Soy, Nuts","Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Lebanese,Vegan,Herbed Potato Curry ,10 min,"Potato, Lemon, Chili, Paprika, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Vietnamese,Vegetarian,Coconut Black beans Skewers ,58 min,"Black beans, Vinegar, Coriander, Milk, Butter, Cheese",Milk,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Caribbean,Vegan,Creamy Pumpkin Burger ,1 hr 41 min,"Pumpkin, Chili, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Thai,Vegetarian,Warm Cauliflower Skewers ,1 hr 21 min,"Cauliflower, Onion, Butter, Vinegar, Salt, Black pepper, Olive oil",Milk,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Korean,Vegan,Simple Mushroom Soup ,1 hr 56 min,"Mushroom, Flour, Paprika, Nuts, Ginger","Nuts, Gluten","Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Thai,Vegetarian,Peanut Mushroom Fritters ,1 hr 48 min,"Mushroom, Onion, Paprika, Honey, Salt, Ginger, Lemon, Flour","Gluten, Honey","Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Brazilian,Non-Vegetarian,Zesty Lamb Pilaf ,33 min,"Lamb, Herbs, Flour, Coriander, Yogurt, Chili","Milk, Gluten","Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pilaf."
Turkish,Vegetarian,Garlic Chickpeas Skewers ,1 hr 34 min,"Chickpeas, Onion, Olive oil, Butter, Nuts, Vinegar","Milk, Nuts","Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
American,Non-Vegetarian,Herbed Chicken Casserole ,48 min,"Chicken, Soy sauce, Vinegar, Flour","Soy, Gluten","Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a casserole."
Spanish,Non-Vegetarian,Peanut Turkey Pizza ,17 min,"Turkey, Ginger, Yogurt, Chili, Herbs, Sugar, Cumin",Milk,"Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pizza."
Mexican,Vegan,Simple Sweet potato Rice Bowl ,42 min,"Sweet potato, Vinegar, Sugar, Paprika",,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Peruvian,Vegetarian,Lemony Tofu Stew ,1 hr 39 min,"Tofu, Tomato, Nuts, Olive oil, Salt, Honey","Soy, Nuts, Honey","Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Peruvian,Vegetarian,Spicy Quinoa Skewers ,1 hr 19 min,"Quinoa, Butter, Lemon, Black pepper, Yogurt",Milk,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Turkish,Vegan,Crispy Rice Tacos ,9 min,"Rice, Olive oil, Herbs, Nuts, Black pepper",Nuts,"Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Brazilian,Vegan,Smoky Potato Sandwich ,52 min,"Potato, Nuts, Garlic, Salt",Nuts,"Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Vietnamese,Vegetarian,Spicy Zucchini Pasta ,45 min,"Zucchini, Soy sauce, Olive oil, Coriander, Butter, Honey","Milk, Soy, Honey","Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Italian,Vegan,Peanut Corn Pizza ,27 min,"Corn, Nuts, Garlic, Black pepper, Soy sauce","Soy, Nuts","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Indian,Vegan,Savory Bell pepper Skewers ,1 hr 59 min,"Bell pepper, Herbs, Salt, Vinegar, Olive oil, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Spanish,Non-Vegetarian,Coconut Tuna Sandwich ,1 hr 10 min,"Tuna, Chili, Lemon, Onion",Seafood,"Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Mexican,Non-Vegetarian,Spicy Pork Pizza ,19 min,"Pork, Onion, Coriander, Ginger, Nuts, Sugar, Salt",Nuts,"Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pizza."
Mexican,Non-Vegetarian,Simple Salmon Soup ,1 hr 50 min,"Salmon, Garlic, Sugar, Soy sauce, Vinegar","Soy, Seafood","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a soup."
Chinese,Non-Vegetarian,Tangy Shrimp Pasta ,1 hr 49 min,"Shrimp, Flour, Soy sauce, Herbs, Cumin, Nuts","Soy, Nuts, Gluten, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Japanese,Vegan,Simple Lentils Tacos ,58 min,"Lentils, Cumin, Lemon, Salt, Ginger",,"Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Moroccan,Non-Vegetarian,Coconut Chicken Sandwich ,1 hr 44 min,"Chicken, Tomato, Black pepper, Olive oil",,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Moroccan,Non-Vegetarian,Herbed Shrimp Frittata ,1 hr 28 min,"Shrimp, Black pepper, Herbs, Soy sauce, Onion, Ginger, Chili","Soy, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
American,Non-Vegetarian,Smoky Lamb Tacos ,1 hr 41 min,"Lamb, Sugar, Butter, Soy sauce, Ginger, Onion, Flour, Cheese","Milk, Soy, Gluten","Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a tacos."
Peruvian,Vegan,Quick Bell pepper Curry ,1 hr 48 min,"Bell pepper, Salt, Lemon",,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Italian,Vegetarian,Quick Corn Pizza ,1 hr 55 min,"Corn, Garlic, Onion, Tomato, Olive oil, Salt, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Mexican,Vegetarian,Zesty Spinach Pilaf ,47 min,"Spinach, Sugar, Cumin, Ginger, Nuts, Soy sauce, Coriander, Butter","Milk, Soy, Nuts","Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Lebanese,Vegetarian,Herbed Kidney beans Salad ,32 min,"Kidney beans, Herbs, Garlic, Milk, Black pepper, Ginger, Lemon, Tomato",Milk,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Ethiopian,Vegetarian,Smoky Tofu Frittata ,1 hr 47 min,"Tofu, Chili, Olive oil, Lemon, Herbs, Ginger, Sugar, Coriander",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Indian,Non-Vegetarian,Tangy Chicken Stir-fry ,1 hr 48 min,"Chicken, Sugar, Cumin, Tomato, Cheese, Butter",Milk,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stir-fry."
Italian,Vegan,Hearty Kidney beans Frittata ,1 hr 42 min,"Kidney beans, Herbs, Nuts, Ginger, Coriander",Nuts,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Mediterranean,Vegetarian,Simple Eggplant Pizza ,1 hr 11 min,"Eggplant, Herbs, Cumin, Black pepper, Tomato, Vinegar",Eggs,"Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Spanish,Non-Vegetarian,Hearty Beef Wrap ,1 hr 56 min,"Beef, Cumin, Cheese, Soy sauce, Yogurt","Milk, Soy","Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and blanch the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a wrap."
French,Vegan,Easy Pumpkin Rice Bowl ,1 hr 25 min,"Pumpkin, Onion, Sugar, Herbs",,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Greek,Vegan,Lemony Corn Fritters ,1 hr 38 min,"Corn, Lemon, Nuts, Salt",Nuts,"Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Greek,Vegetarian,Creamy Eggplant Fritters ,1 hr 22 min,"Eggplant, Coriander, Olive oil, Cumin, Milk","Milk, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Peruvian,Vegetarian,Hearty Cauliflower Soup ,1 hr 42 min,"Cauliflower, Garlic, Nuts, Flour, Yogurt","Milk, Nuts, Gluten","Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
French,Vegetarian,Spicy Spinach Pizza ,1 hr 13 min,"Spinach, Garlic, Onion, Sugar, Butter, Salt, Vinegar, Chili",Milk,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Vietnamese,Vegan,Creamy Zucchini Rice Bowl ,49 min,"Zucchini, Salt, Sugar, Paprika, Onion, Ginger",,"Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
French,Non-Vegetarian,Tangy Chicken Salad ,1 hr 3 min,"Chicken, Onion, Soy sauce, Black pepper",Soy,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a salad."
French,Non-Vegetarian,Herbed Shrimp Risotto ,1 hr 26 min,"Shrimp, Black pepper, Flour, Lemon, Tomato, Paprika","Gluten, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a risotto."
